-1,-1,60,100,0.697285,1.23656
2.09363,3.16039,61.6662,100.209,0.716648,1.15281
2.15755,2.97588,63.0561,100.55,0.732801,1.09059
2.20508,2.86099,64.0947,100.994,0.744872,1.0528
2.23464,2.82207,64.7428,101.509,0.752403,1.04015
2.2456,2.85843,64.9836,102.059,0.755201,1.05197
2.23789,2.96405,64.8143,102.607,0.753234,1.08667
2.21181,3.129,64.2421,103.115,0.746585,1.14209
2.168,3.3405,63.2841,103.545,0.735451,1.21556
2.10768,3.58381,61.9709,103.866,0.72019,1.30388
2.0331,3.84259,60.357,104.054,0.701434,1.40301
1.94834,4.09929,58.5351,104.108,0.680261,1.5076
1.85988,4.33598,56.647,104.048,0.658318,1.61063
1.77607,4.53697,54.87,103.913,0.637667,1.70403
1.70501,4.69204,53.3724,103.75,0.620263,1.78045
1.65276,4.79705,52.2762,103.593,0.607524,1.83466
1.62295,4.85153,51.6526,103.463,0.600276,1.86364
1.6173,4.85598,51.5346,103.372,0.598905,1.86604
1.63615,4.81032,51.9285,103.322,0.603483,1.84166
1.67853,4.71365,52.8163,103.311,0.6138,1.79144
1.74188,4.56527,54.1485,103.331,0.629282,1.71768
1.82147,4.36713,55.8312,103.36,0.648837,1.62472
1.91009,4.12711,57.717,103.367,0.670754,1.51936
1.99911,3.86054,59.6248,103.316,0.692924,1.41011
2.0807,3.58756,61.3859,103.183,0.713391,1.30528
2.14944,3.32896,62.8792,102.963,0.730745,1.21147
2.20217,3.10358,64.0309,102.67,0.74413,1.13344
2.23724,2.9275,64.8,102.327,0.753068,1.07459
2.25384,2.81358,65.1647,101.963,0.757307,1.0374
2.25158,2.77111,65.1151,101.605,0.75673,1.02371
2.23041,2.80519,64.6501,101.277,0.751326,1.03469
2.19067,2.91598,63.7792,101.001,0.741205,1.0708
2.13333,3.09757,62.5284,100.795,0.726668,1.13141
2.06061,3.33669,60.9512,100.673,0.70834,1.21421
1.97676,3.61198,59.1444,100.65,0.687342,1.3144
1.88849,3.89583,57.256,100.735,0.665396,1.42416
1.80426,4.16054,55.4665,100.935,0.644599,1.53361
1.73213,4.38587,53.9431,101.245,0.626896,1.63327
1.67808,4.56171,52.8068,101.659,0.61369,1.71595
1.64573,4.68535,52.1289,102.161,0.605812,1.77707
1.63686,4.75757,51.9433,102.739,0.603655,1.81403
1.65178,4.78003,52.2557,103.374,0.607285,1.82573
1.68939,4.75428,53.0442,104.043,0.616449,1.81232
1.74678,4.68224,54.2518,104.714,0.630483,1.7755
1.81876,4.56773,55.7737,105.337,0.64817,1.71887
1.89796,4.41805,57.458,105.85,0.667743,1.64806
1.97634,4.24358,59.1355,106.188,0.687238,1.56958
2.04731,4.05548,60.6637,106.303,0.704998,1.48926
2.10656,3.8639,61.9467,106.175,0.719908,1.41144
2.15164,3.67795,62.9273,105.801,0.731304,1.33928
2.1812,3.5066,63.5722,105.197,0.738799,1.27538
2.19441,3.35931,63.8611,104.394,0.742157,1.22224
2.19079,3.24637,63.782,103.433,0.741237,1.18251
2.17017,3.1783,63.3314,102.372,0.736001,1.15896
2.13296,3.16439,62.5203,101.28,0.726575,1.15418
2.08056,3.21006,61.3828,100.236,0.713356,1.16991
2.01596,3.31366,59.9874,99.3219,0.697139,1.20608
1.94399,3.46436,58.4417,98.6105,0.679176,1.25998
1.87101,3.64326,56.8836,98.1507,0.661068,1.32616
1.80377,3.82851,55.4561,97.9619,0.644479,1.39747
1.74822,4.00107,54.2821,98.0383,0.630835,1.46678
1.7088,4.14764,53.452,98.36,0.621188,1.52809
1.68844,4.26045,53.0243,98.9021,0.616217,1.57699
1.68875,4.33568,53.0308,99.6384,0.616293,1.61049
