accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__
0,0.0474173,2,2,1,-37443.7
0,0.00439776,1,1,1,-37443.7
0.392959,0.00101025,3,7,0,-34314.8
0.863948,0.000952583,6,63,0,-21315.4
0.657795,0.00052714,6,63,0,-20249.8
1,0.000883677,7,127,0,-14981
1,0.00156553,6,63,0,-13362.5
0.846304,0.00176621,6,63,0,-8728.38
0.867606,0.00217155,6,63,0,-3826.41
0.489248,0.000818328,11,2047,0,-3250.57
0.999294,0.00156051,12,4095,0,-3059.26
1,0.00299066,11,2047,0,-2909.75
0.999244,0.0057103,11,2047,0,-2851.84
0.997392,0.0107952,10,1023,0,-2766.54
0.994373,0.0200954,9,511,0,-2725.81
0.998672,0.0376214,8,255,0,-2695.5
0.000929605,0.00339549,6,39,1,-2677.63
0.999994,0.00642342,10,1023,0,-2666.48
0.988184,0.0116225,9,511,0,-2636.57
0.957906,0.0190546,9,511,0,-2683.49
0.984115,0.0334713,8,255,0,-2593.06
0.171514,0.00549019,7,97,1,-2625.01
0.998459,0.0100681,10,1023,0,-2619.49
0.998503,0.018281,9,511,0,-2581.72
0.843401,0.0211789,8,255,0,-2630.13
0.976517,0.0355753,8,255,0,-2649.29
5.7979e-082,0.00390403,6,34,1,-2649.51
0.992615,0.00689452,10,1023,0,-2615.37
1,0.0123077,9,511,0,-2643.65
0.993543,0.0213834,8,255,0,-2626.69
0.853532,0.0252488,8,255,0,-2635.3
0.998186,0.0437599,7,127,0,-2632.65
1.33167e-187,0.00533431,2,3,1,-2632.65
0.983391,0.0089237,10,1023,0,-2625.92
0.999962,0.0154608,9,511,0,-2621.11
0.99444,0.0261796,8,255,0,-2624.13
0.94689,0.0389132,7,127,0,-2626.76
2.82253e-021,0.00514481,5,29,1,-2626.76
0.998466,0.00876648,10,1023,0,-2617.11
0.962344,0.013533,9,511,0,-2621.18
0.934345,0.0193569,8,255,0,-2674.73
0.894925,0.0249813,8,255,0,-2696.44
0.539486,0.013413,7,127,0,-2649.95
0.96299,0.0204121,8,255,0,-2620.31
0.901403,0.0265987,8,255,0,-2544.85
0.134666,0.00546008,7,127,0,-2563.54
0.98317,0.00869503,10,1023,0,-2581.49
0.981793,0.013713,9,511,0,-2590.79
0.998804,0.0223723,8,255,0,-2588.53
0.134123,0.00478805,8,226,1,-2607.45
0.996492,0.00777164,10,1023,0,-2595.08
0.999998,0.012636,9,511,0,-2616.98
0.977381,0.0193823,8,255,0,-2636.82
0.820568,0.0206732,8,255,0,-2644.33
0.648519,0.0149136,8,255,0,-2658.7
0.994362,0.0235487,8,255,0,-2661.14
0.000322388,0.00398931,7,125,1,-2651.26
0.999981,0.0063928,10,1023,0,-2628.78
0.999416,0.0101728,9,511,0,-2661.3
0.996639,0.0159994,9,511,0,-2662.26
0.999774,0.0252003,8,255,0,-2676.03
0.999883,0.0394906,7,127,0,-2612.48
0.551761,0.023363,7,110,1,-2604.94
0.816558,0.0245673,7,127,0,-2635.48
0.959731,0.0350627,7,127,0,-2660.8
0.0275021,0.00686798,7,99,1,-2682.81
0.993272,0.0105534,9,511,0,-2591.89
0.994233,0.0161722,9,511,0,-2593.9
0.983059,0.0240971,8,255,0,-2601.85
0.835059,0.0262759,7,127,0,-2642.13
0.909991,0.0334255,7,127,0,-2646.88
5.54187e-005,0.00651459,6,36,1,-2669.38
0.999548,0.0100014,9,511,0,-2670.73
0.949185,0.013795,9,511,0,-2649.29
0.974665,0.0199696,8,255,0,-2632.43
0.951779,0.0274996,8,255,0,-2577.9
0.187004,0.00813213,7,127,0,-2578.94
0.985164,0.0119844,9,511,0,-2572.2
0.998094,0.0180515,8,255,0,-2567.36
0.750581,0.0165973,8,255,0,-2628.39
0.89447,0.0202721,8,255,0,-2648.79
0.982322,0.0293537,8,255,0,-2654.3
6.46187e-037,0.00623701,4,10,1,-2654.3
0.972219,0.00887278,9,511,0,-2641.28
0.987178,0.0129493,9,511,0,-2652.86
0.964038,0.0180126,8,255,0,-2632.55
0.431979,0.00901999,8,255,0,-2663.74
0.989197,0.0131438,9,511,0,-2656.25
0.995701,0.0193246,8,255,0,-2608.15
0.691535,0.0159392,8,255,0,-2618.59
0.909517,0.0198416,8,255,0,-2644.16
0.985942,0.028444,8,255,0,-2667.68
